
> rest-express@1.0.0 dev
> cross-env NODE_ENV=development tsx server/index.ts

8:19:06 AM [express] serving on port 5000
8:19:26 AM [express] GET /api/arbitrage-opportunities 304 in 82ms
8:19:27 AM [express] GET /api/alerts 405 in 6ms
8:19:27 AM [express] GET /api/scan-status 200 in 40ms
8:19:28 AM [express] GET /api/market-stats 304 in 56ms
8:19:28 AM [express] GET /api/arbitrage-opportunities 304 in 65ms
8:19:28 AM [express] GET /api/scanner-config 200 in 66ms
8:19:28 AM [express] GET /api/match-feedback 304 in 87ms
8:19:28 AM [express] GET /api/watchlist 304 in 50ms
8:21:01 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:21:02 AM [express] GET /api/scan-status 304 in 4ms
8:21:02 AM [express] POST /api/scanner-config 200 in 15ms
8:21:02 AM [express] GET /api/scanner-config 200 in 80ms
8:21:03 AM [express] GET /api/scan-status 200 in 8ms
8:25:02 AM [express] GET /api/arbitrage-opportunities 304 in 67ms
8:25:17 AM [express] GET /api/arbitrage-opportunities 304 in 2ms
8:25:32 AM [express] GET /api/arbitrage-opportunities 304 in 62ms
8:25:47 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
8:26:02 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
8:26:17 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
8:26:32 AM [express] GET /api/arbitrage-opportunities 304 in 4ms
8:26:47 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
8:27:02 AM [express] GET /api/arbitrage-opportunities 304 in 34ms
8:27:17 AM [express] GET /api/arbitrage-opportunities 304 in 2ms
8:27:32 AM [express] GET /api/arbitrage-opportunities 304 in 55ms
8:27:47 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:28:02 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:28:17 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:28:32 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:28:47 AM [express] GET /api/arbitrage-opportunities 304 in 13ms
8:29:02 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:29:18 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:29:33 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:29:48 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:30:03 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:30:18 AM [express] GET /api/arbitrage-opportunities 304 in 15ms
8:30:33 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:30:48 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:31:03 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:31:18 AM [express] GET /api/arbitrage-opportunities 304 in 13ms
8:31:33 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:31:48 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
8:32:03 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:32:18 AM [express] GET /api/arbitrage-opportunities 304 in 14ms
8:32:33 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:32:49 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:33:04 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:33:19 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:33:34 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:33:49 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:34:04 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:34:11 AM [express] GET /api/scan-progress 200 in 787968ms
8:34:13 AM [express] GET /api/scan-status 200 in 9ms
8:34:19 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:34:34 AM [express] GET /api/arbitrage-opportunities 304 in 13ms
8:34:49 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
8:35:04 AM [express] GET /api/arbitrage-opportunities 304 in 14ms
8:35:19 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:35:34 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:35:49 AM [express] GET /api/arbitrage-opportunities 304 in 14ms
8:36:04 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:36:20 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
8:36:35 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:36:50 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:37:05 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:37:20 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:37:35 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
8:37:50 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
8:38:05 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:38:20 AM [express] GET /api/arbitrage-opportunities 304 in 2ms
8:38:35 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
8:38:50 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:39:05 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:39:20 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:39:35 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:39:50 AM [express] GET /api/arbitrage-opportunities 304 in 14ms
8:40:06 AM [express] GET /api/arbitrage-opportunities 304 in 10ms
8:40:21 AM [express] GET /api/arbitrage-opportunities 304 in 9ms
8:40:36 AM [express] GET /api/arbitrage-opportunities 304 in 12ms
8:40:51 AM [express] GET /api/arbitrage-opportunities 304 in 11ms
8:41:06 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
8:41:21 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
8:41:36 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:41:51 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
8:42:06 AM [express] GET /api/arbitrage-opportunities 304 in 5ms
8:42:21 AM [express] GET /api/arbitrage-opportunities 304 in 2ms
8:42:36 AM [express] GET /api/arbitrage-opportunities 304 in 3ms
8:42:51 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
8:43:06 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
8:43:21 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
8:43:36 AM [express] GET /api/arbitrage-opportunities 304 in 7ms
8:43:51 AM [express] GET /api/arbitrage-opportunities 304 in 6ms
8:44:06 AM [express] GET /api/arbitrage-opportunities 304 in 8ms
8:45:08 AM [express] GET /api/arbitrage-opportunities 304 in 5ms
8:51:06 AM [express] GET /api/arbitrage-opportunities 304 in 4ms
9:09:03 AM [express] GET /api/arbitrage-opportunities 200 in 26ms
9:09:18 AM [express] GET /api/arbitrage-opportunities 304 in 25ms
9:09:36 AM [express] GET /api/arbitrage-opportunities 304 in 30ms
9:09:53 AM [express] GET /api/arbitrage-opportunities 304 in 93ms
9:10:09 AM [express] GET /api/arbitrage-opportunities 200 in 24ms
9:10:25 AM [express] GET /api/arbitrage-opportunities 304 in 55ms
9:10:40 AM [express] GET /api/arbitrage-opportunities 304 in 35ms
9:10:56 AM [express] GET /api/arbitrage-opportunities 304 in 37ms
9:11:11 AM [express] GET /api/arbitrage-opportunities 304 in 17ms
9:11:26 AM [express] GET /api/arbitrage-opportunities 304 in 28ms
9:11:42 AM [express] GET /api/arbitrage-opportunities 200 in 21ms
9:11:57 AM [express] GET /api/arbitrage-opportunities 304 in 26ms
9:13:30 AM [express] GET /api/arbitrage-opportunities 304 in 23ms
9:21:06 AM [express] GET /api/arbitrage-opportunities 200 in 18ms
9:51:06 AM [express] GET /api/arbitrage-opportunities 200 in 40ms
10:21:06 AM [express] GET /api/arbitrage-opportunities 200 in 18ms
10:51:06 AM [express] GET /api/arbitrage-opportunities 200 in 17ms
11:21:06 AM [express] GET /api/arbitrage-opportunities 200 in 17ms
