  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       22964
  TCP    127.0.0.1:8000         127.0.0.1:49549        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:49551        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:57567        ESTABLISHED     22964
  TCP    127.0.0.1:8000         127.0.0.1:59383        FIN_WAIT_2      22964
  TCP    127.0.0.1:8000         127.0.0.1:59384        ESTABLISHED     22964
  TCP    127.0.0.1:8000         127.0.0.1:61092        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:61093        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:61095        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:62625        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:62627        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:62630        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:62632        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:62635        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:62637        FIN_WAIT_2      22964
  TCP    127.0.0.1:49552        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:57567        127.0.0.1:8000         ESTABLISHED     18612
  TCP    127.0.0.1:59383        127.0.0.1:8000         CLOSE_WAIT      19908
  TCP    127.0.0.1:59384        127.0.0.1:8000         ESTABLISHED     19908
  TCP    127.0.0.1:61094        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:62626        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:62631        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:62636        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:62637        127.0.0.1:8000         CLOSE_WAIT      19908
